Temperature;Turbidity (cm);Dissolved Oxygen (mg/L);Biochemical Oxygen Demand (mg/L);Carbon Dioxide (CO2);pH;Total Alkalinity (mg L-1);Total Hardness (mg L-1);Calcium (mg L-1);Ammonia (mg L-1);Nitrite (mg L-1);Phosphorus (mg L-1);Hydrogen Sulfide (mg L-1);Plankton Count (No. L-1);Water Quality Label;Aquaculture Suitability Tier;Aquaculture Suitability Description
60.66;87.8;0.551;10.407;13.68;4.806;249.681;18.972;3.115;0.605;3.03;3.118;0.04;6956.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.87;4.13;1.614;14.542;10.537;1.865;286.284;16.337;293.532;0.698;3.041;0.004;0.06;7454.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
83.63;98.83;0.527;9.781;14.377;2.856;240.949;4.978;4.776;0.909;2.177;3.417;0.053;7219.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
62.16;95.23;9.979;7.86;14.338;12.995;248.218;1.798;265.701;0.688;2.732;0.004;0.088;1269.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
80.5;9.71;14.3;11.895;10.307;0.066;279.894;398.797;3.071;0.581;4.841;3.825;0.078;7355.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.8;86.07;2.668;13.354;13.876;5.535;205.103;320.587;289.847;0.074;2.228;4.86;0.048;1332.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
74.83;82.16;1.251;13.567;10.504;12.483;251.495;8.27;5.629;0.772;3.722;3.038;0.07;6245.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.76;1.34;8.427;8.481;13.856;2.192;261.88;13.697;378.001;0.424;3.403;0.005;0.044;1324.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
78.97;1.65;0.945;6.369;13.905;11.675;262.623;14.078;0.113;0.476;2.175;0.006;0.071;734.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.0;12.32;14.799;10.036;10.166;4.876;253.364;14.081;8.309;0.267;2.327;0.003;0.048;1231.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
4.97;81.75;2.161;14.753;12.017;4.955;289.612;397.663;7.203;0.81;2.236;0.004;0.027;645.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
6.43;84.36;9.609;12.451;10.979;9.963;237.999;8.093;5.464;0.919;3.114;0.0;0.063;7148.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.09;90.29;2.628;10.424;12.983;4.97;236.756;363.191;2.477;0.727;3.925;0.009;0.072;6665.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
63.78;8.54;11.642;10.902;13.281;3.577;211.411;7.81;5.835;0.992;3.939;0.006;0.05;6989.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
0.88;5.24;1.721;8.594;12.503;0.228;294.848;3.041;286.099;0.206;4.111;4.216;0.068;1313.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
9.38;11.7;1.317;7.493;11.277;12.822;292.189;17.361;304.573;0.752;4.99;0.002;0.055;1323.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
2.82;10.01;0.842;11.91;11.153;0.286;245.163;15.581;393.018;0.217;2.22;0.001;0.035;1988.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
72.76;0.18;10.964;10.559;11.245;1.378;224.23;2.173;7.381;0.302;3.404;3.164;0.049;499.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
67.85;94.66;0.974;14.591;12.132;4.514;250.682;15.768;5.099;0.3;2.118;3.472;0.094;6496.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
0.78;10.52;10.409;11.673;11.494;0.288;287.904;336.489;0.399;0.082;3.968;0.006;0.031;7259.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
14.59;85.45;1.231;13.952;10.394;1.674;241.488;342.719;7.128;0.416;4.112;3.934;0.099;7263.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
0.41;12.22;0.753;13.632;10.994;1.018;271.554;4.828;2.261;0.065;2.34;0.0;0.036;866.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
68.45;86.32;0.728;9.175;10.882;13.342;243.606;13.68;341.986;0.381;3.751;4.268;0.051;1085.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
65.26;13.21;1.22;12.815;10.409;11.698;264.742;343.152;389.175;0.53;4.758;3.104;0.052;6493.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
80.05;0.05;2.772;9.819;13.202;10.441;235.776;1.92;358.991;0.556;4.81;0.007;0.025;6533.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
0.85;93.38;11.107;14.018;11.136;14.077;213.517;395.946;282.873;0.433;3.363;4.828;0.04;7194.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
82.18;12.71;12.109;8.031;14.745;4.608;251.739;8.369;0.94;0.187;4.958;0.007;0.06;6032.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
72.07;90.76;0.636;11.18;10.742;12.427;238.531;366.888;1.494;0.86;4.523;4.974;0.027;610.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
72.27;5.55;13.818;7.242;12.003;14.13;271.132;337.103;259.263;0.872;3.168;3.363;0.086;6408.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
82.77;2.24;2.912;6.904;12.048;5.894;284.027;348.751;4.595;0.099;4.638;0.007;0.057;783.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
6.6;81.67;13.372;9.969;12.973;1.056;251.297;390.466;356.312;0.959;3.809;0.009;0.072;1058.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
69.52;5.57;0.969;12.12;12.116;11.569;214.873;340.248;374.19;0.399;2.133;4.388;0.036;6762.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
78.26;97.17;2.715;9.692;14.517;10.283;204.719;4.287;7.73;0.999;3.219;0.003;0.09;1964.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
84.02;90.4;11.408;8.92;10.045;4.067;287.615;390.511;0.412;0.567;4.455;0.004;0.086;6319.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
5.86;0.54;0.134;14.786;13.379;9.582;262.88;392.653;7.738;0.815;2.989;0.009;0.028;1063.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
63.3;93.3;0.44;12.019;14.693;0.848;264.892;313.147;9.861;0.796;3.396;0.0;0.033;281.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.73;95.56;13.648;8.27;13.179;10.232;266.71;343.854;9.684;0.683;4.876;3.748;0.038;6677.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
2.73;12.31;0.593;12.013;12.87;2.708;206.908;307.517;3.58;0.144;2.433;3.923;0.098;1728.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
71.71;86.44;11.011;7.837;12.548;2.949;243.975;11.251;386.991;0.172;2.024;4.364;0.079;7181.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
69.34;86.47;2.335;9.946;11.917;10.377;235.178;355.862;2.677;0.465;3.892;4.129;0.042;403.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
12.59;90.3;9.792;13.604;14.343;12.346;225.94;311.192;2.323;0.794;4.565;3.181;0.051;1991.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
78.83;10.97;13.733;6.071;13.072;10.253;204.64;8.431;374.809;0.304;3.815;3.11;0.069;79.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
7.06;99.8;10.476;11.344;13.505;14.082;287.959;0.705;7.222;0.364;2.684;3.525;0.067;6388.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.8;98.41;8.905;14.444;14.775;14.851;234.004;341.719;6.414;0.924;4.899;0.006;0.039;6413.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
81.92;93.75;14.053;8.583;11.142;10.202;220.591;310.988;6.722;0.507;3.891;0.0;0.043;7445.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.01;90.88;2.87;13.474;13.638;13.15;208.283;3.052;374.582;0.249;2.586;0.004;0.085;6377.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
77.93;11.54;14.248;7.231;10.995;0.428;244.119;19.061;1.802;0.886;4.04;0.0;0.095;1860.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
76.17;6.71;14.468;13.151;12.207;3.659;240.703;356.528;368.675;0.644;2.456;0.004;0.026;1914.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
82.0;8.12;12.987;7.452;11.695;1.91;298.943;9.753;325.986;0.442;2.279;0.007;0.041;800.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
14.84;88.66;0.244;6.308;13.345;1.28;214.598;12.007;353.891;0.953;3.18;0.005;0.024;980.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
4.98;8.99;10.407;8.295;14.912;10.661;284.023;305.158;4.647;0.928;2.204;0.004;0.057;1625.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
76.59;96.96;2.991;12.829;13.349;10.378;232.157;349.84;342.666;0.962;4.306;4.204;0.044;6213.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
7.16;13.61;12.192;14.245;10.701;14.515;250.922;315.101;4.212;0.351;2.673;4.693;0.051;7425.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
71.36;88.52;11.046;8.697;12.304;10.792;231.478;371.438;2.247;0.535;4.731;0.009;0.044;410.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
2.85;91.92;12.986;6.186;10.114;3.715;200.79;12.358;8.918;0.105;2.66;4.87;0.022;1575.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
5.97;94.33;0.422;12.172;11.824;9.814;273.036;12.427;0.018;0.64;3.601;3.186;0.028;1990.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
69.82;84.08;1.738;14.78;11.665;2.311;213.033;2.501;7.133;0.296;3.031;4.707;0.066;361.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
5.51;94.41;13.449;8.278;14.636;10.384;212.353;10.412;389.894;0.347;3.493;4.819;0.053;1556.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
68.77;92.67;12.984;9.376;11.591;0.295;292.695;8.125;1.502;0.137;2.832;0.004;0.038;1158.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.09;12.43;2.128;12.823;13.173;12.146;251.479;18.347;398.157;0.185;2.453;3.509;0.05;6309.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
74.04;3.11;2.977;9.473;13.65;10.131;215.244;397.986;261.617;0.193;2.869;4.312;0.071;6724.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
6.54;11.35;10.166;9.247;11.051;2.375;288.859;302.439;254.379;0.347;2.208;0.007;0.033;7156.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
11.18;85.14;10.769;13.113;11.921;11.774;239.778;17.715;1.311;0.867;3.688;0.002;0.037;525.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.45;10.29;10.458;12.833;10.586;2.698;228.6;338.199;319.459;0.667;3.632;0.001;0.044;1085.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.07;97.97;1.826;6.63;10.645;4.18;237.477;307.425;359.202;0.773;2.054;4.619;0.075;627.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
60.92;3.98;14.97;8.627;13.419;10.751;230.73;391.943;4.475;0.17;4.586;3.208;0.085;528.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
73.81;5.06;11.513;13.62;13.556;2.388;278.619;359.757;0.916;0.778;3.235;3.261;0.044;6792.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
4.55;5.58;9.918;6.215;12.023;12.179;273.855;9.581;344.636;0.551;2.685;3.228;0.033;6514.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.22;1.34;1.606;12.759;10.032;11.245;245.951;0.256;1.588;0.86;3.315;4.081;0.086;6254.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.3;82.43;2.761;11.824;11.736;13.345;280.19;13.112;378.573;0.671;2.439;3.243;0.058;7452.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
0.19;10.43;2.405;11.651;12.87;5.458;251.677;12.709;2.587;0.457;3.751;4.795;0.081;154.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
12.56;92.03;0.713;7.862;12.662;12.916;206.194;301.326;345.125;0.796;4.975;0.006;0.091;6714.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
70.24;4.58;0.237;12.94;11.141;0.541;287.867;315.351;260.687;0.268;2.267;4.399;0.068;6630.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
61.52;98.99;1.073;9.02;14.901;13.38;226.146;18.262;327.43;0.763;3.779;4.121;0.084;6360.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
72.54;93.23;1.956;14.943;11.199;11.836;224.423;302.621;9.592;0.46;4.925;0.01;0.087;6169.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
14.66;3.07;13.162;7.634;12.333;5.352;200.14;375.667;3.956;0.777;4.696;0.004;0.084;968.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
11.66;93.59;10.1;11.065;13.168;10.954;269.719;333.317;353.874;0.2;2.82;0.006;0.074;6144.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
77.29;89.88;9.48;7.119;14.973;2.508;241.458;13.055;9.851;0.368;3.939;3.389;0.064;6749.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
2.62;89.7;14.172;11.18;14.194;10.096;281.947;17.668;302.896;0.737;2.394;4.179;0.058;7239.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
8.58;5.69;9.082;12.189;12.498;0.051;214.909;391.228;365.325;0.414;4.178;4.386;0.045;6711.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.05;86.33;13.784;7.211;10.989;14.809;206.372;358.515;284.543;0.125;3.311;3.386;0.059;294.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
14.79;13.08;1.303;10.686;10.198;11.128;256.685;18.662;301.245;0.094;3.62;0.006;0.055;6980.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
9.19;11.95;1.376;11.379;12.881;2.815;235.042;378.022;9.442;0.269;2.373;4.536;0.065;6946.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
63.64;14.02;0.93;7.302;11.167;1.834;274.684;369.191;340.645;0.784;2.932;0.008;0.041;6164.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.69;8.46;1.408;14.25;12.16;14.547;290.539;15.541;2.189;0.799;3.558;0.01;0.029;1981.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
84.25;94.73;12.903;11.616;10.396;14.253;208.515;359.802;6.568;0.666;3.576;0.0;0.097;1672.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
67.45;20.68;7.378;3.053;2.715;9.131;156.459;55.577;21.187;0.043;0.533;0.021;0.014;5441.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.63;19.79;7.155;4.534;4.54;9.335;110.242;45.97;15.69;0.026;0.228;2.149;0.015;5508.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
65.12;18.1;5.334;4.144;4.806;9.179;171.918;227.598;237.161;0.04;0.247;0.024;0.018;2313.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.64;26.34;6.376;2.338;9.165;6.437;41.326;266.569;22.516;0.034;0.432;2.413;0.012;2559.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.86;29.29;5.851;2.918;2.921;9.219;186.86;50.031;109.827;0.036;0.247;2.16;0.017;2004.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.01;21.33;6.499;4.938;9.862;9.215;196.54;32.267;15.767;0.05;0.023;2.571;0.006;2068.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
70.6;28.17;7.515;5.884;0.684;6.308;39.662;57.777;208.939;0.026;0.824;0.016;0.018;2936.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
80.86;16.87;5.154;2.497;9.776;6.389;47.8;58.936;229.089;0.025;0.452;2.47;0.0;5903.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
81.2;26.11;7.259;2.534;1.553;9.296;199.254;30.767;211.879;0.03;0.464;2.334;0.006;2063.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.1;19.22;6.466;4.629;10.0;6.175;168.735;245.265;184.129;0.031;1.201;2.689;0.013;5161.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
13.83;20.58;6.784;4.857;0.235;9.126;40.35;55.266;14.566;0.048;1.708;2.446;0.017;2880.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
12.26;29.77;6.085;3.397;9.215;9.478;40.709;21.569;121.936;0.044;1.611;2.199;0.013;5509.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.72;25.86;6.954;2.989;9.39;9.49;25.479;265.533;19.174;0.04;0.054;2.253;0.002;2651.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
75.79;29.79;6.299;4.524;2.26;6.076;45.505;211.681;20.161;0.048;2.0;0.013;0.008;2213.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
60.66;24.21;5.003;5.67;2.04;9.008;48.911;66.773;17.481;0.042;1.916;2.9;0.003;2756.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
10.87;18.44;6.977;2.872;9.305;6.203;117.311;71.326;225.491;0.049;0.828;0.022;0.004;2579.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
83.63;18.48;7.247;4.538;0.049;9.178;190.204;256.086;15.974;0.032;0.295;0.018;0.015;2049.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
62.16;20.4;6.636;2.183;4.668;9.066;192.698;284.961;148.026;0.045;1.226;0.025;0.014;5045.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
80.5;16.32;5.184;5.262;1.932;9.232;121.926;64.724;174.287;0.033;0.68;0.015;0.004;2656.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.8;17.55;6.097;3.732;0.843;9.123;175.919;49.837;14.03;0.034;0.474;0.026;0.017;2159.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
74.83;26.61;5.943;2.157;8.242;9.071;30.52;68.606;14.108;0.049;1.544;2.105;0.017;5192.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.76;21.81;5.371;4.129;4.955;9.276;49.564;242.954;151.255;0.047;1.98;2.283;0.013;2889.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
78.97;21.54;7.773;3.12;2.344;6.245;25.359;39.76;135.617;0.027;1.005;2.876;0.016;5825.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.0;15.25;5.546;4.147;2.007;6.265;179.44;43.258;233.619;0.031;1.45;0.019;0.016;5168.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
